,Mean,Median,Std
model_checkpoint_bc_4200.pth,0.5113684009413206,0.5274296792153219,0.12684245589909918
model_checkpoint_bc_4300.pth,0.5116099097318955,0.5266996889927479,0.12748914722155108
model_checkpoint_bc_4400.pth,0.507734108742387,0.5216285204425489,0.12693975096089877
model_checkpoint_bc_4500.pth,0.5071937932265851,0.5209542141257962,0.1273876168663449
model_checkpoint_bc_4600.pth,0.5104514979821988,0.524096440763613,0.1280729190997645
model_checkpoint_bc_4700.pth,0.5106681103155294,0.524953744299711,0.12800751741748495
model_checkpoint_bc_4800.pth,0.5115524163700105,0.5266448366522987,0.1285677191468465
model_checkpoint_bc_4900.pth,0.5108951368520225,0.5254192272746323,0.1276866588591441
model_checkpoint_bc_5000.pth,0.5116217744229927,0.526171823570169,0.12840972382400564
model_checkpoint_bc_5100.pth,0.511175746242871,0.5251180129878876,0.12793720197352468
model_checkpoint_bc_5200.pth,0.5114973866773392,0.5254121557223447,0.12764147067309264
model_checkpoint_bc_5300.pth,0.5115006475118998,0.5256903030600764,0.12790939283090422
model_checkpoint_bc_5400.pth,0.511544389389219,0.5254956698896504,0.1277399208736454
model_checkpoint_bc_5500.pth,0.5116109680133105,0.525863289623357,0.12777752548249116
